word,2020-03-06,2020-03-09,2020-03-12,2020-03-13,2020-03-19,2020-03-20,2020-03-23,2020-03-25,2020-03-27,2020-03-31,2020-04-02,2020-04-03,2020-04-07,2020-04-09,2020-04-15,2020-04-17,2020-04-21,2020-04-24,2020-04-29,2020-05-01,2020-05-06,2020-05-08,2020-05-13,2020-05-15,2020-05-19,2020-05-20,2020-05-27,2020-06-24,2020-06-26,2020-08-06,2020-08-18,2020-09-01,2020-09-18,2020-09-28,2020-10-13,2020-10-27,2020-11-03,2020-11-17,2020-12-08,2021-01-12,2021-01-20,2021-02-03,2021-02-23,2021-03-08,2021-03-23,2021-04-14,2021-04-20,2021-05-11,2021-05-28,2021-06-18,2021-07-09,2021-07-13,2021-08-13,2021-09-14,2021-11-03,2021-11-12,2021-11-27,2021-12-14,2021-12-18,2022-01-14
voelen,0.0013698630136986301,0.021798365122615803,0.0,0.0,0.0015267175572519084,0.0034602076124567475,0.0,0.0,0.0,0.0,0.0,0.002355712603062426,0.0,0.0013351134846461949,0.0,0.0012706480304955528,0.0035545023696682463,0.0011947431302270011,0.0,0.0014367816091954023,0.0008396305625524769,0.001314060446780552,0.0,0.0,0.00156128024980484,0.0,0.001610305958132045,0.002707581227436823,0.0,0.0008333333333333334,0.0030303030303030303,0.003436426116838488,0.0026857654431512983,0.0,0.0022371364653243847,0.0,0.0,0.0029296875,0.005063291139240506,0.003194888178913738,0.00078003120124805,0.0,0.003032600454890068,0.0016194331983805667,0.0007656967840735069,0.0,0.0008143322475570033,0.0,0.0027624309392265192,0.0,0.0,0.0,0.0,0.001584786053882726,0.0021691973969631237,0.003604902667627974,0.00078125,0.001445086705202312,0.0008038585209003215,0.011210762331838564
deskundig,0.00684931506849315,0.013623978201634877,0.006666666666666667,0.011723329425556858,0.0015267175572519084,0.0196078431372549,0.0,0.002531645569620253,0.0,0.008997429305912597,0.0,0.008244994110718492,0.0037926675094816687,0.00801068090787717,0.0013513513513513514,0.008894536213468869,0.008293838862559242,0.009557945041816009,0.0,0.0,0.005037783375314861,0.003942181340341655,0.002277904328018223,0.008522727272727272,0.00468384074941452,0.0,0.0,0.0009025270758122744,0.0,0.0,0.00202020202020202,0.00429553264604811,0.0008952551477170994,0.0009057971014492754,0.0,0.0,0.0,0.00390625,0.0,0.003993610223642172,0.0015600624024961,0.0008045052292839903,0.001516300227445034,0.004048582995951417,0.0007656967840735069,0.0034626038781163434,0.0008143322475570033,0.0,0.0,0.0,0.0008888888888888889,0.0,0.0008976660682226212,0.000792393026941363,0.0007230657989877079,0.0,0.00390625,0.002167630057803468,0.0008038585209003215,0.0
aanstaande,0.0013698630136986301,0.0,0.0,0.0,0.0,0.0,0.0,0.012658227848101266,0.0026702269692923898,0.010282776349614395,0.00211864406779661,0.0,0.0,0.0,0.0,0.0012706480304955528,0.0,0.0,0.0,0.0,0.0016792611251049538,0.003942181340341655,0.0,0.0,0.0,0.0,0.00966183574879227,0.0,0.0011025358324145535,0.0,0.0,0.0,0.0008952551477170994,0.0,0.0,0.0,0.002127659574468085,0.0009765625,0.0,0.003194888178913738,0.0039001560062402497,0.0008045052292839903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009009009009009009,0.0,0.0,0.0,0.0,0.0,0.0,0.00078125,0.0,0.001607717041800643,0.0
reisadvies,0.0027397260273972603,0.0,0.0,0.0,0.0,0.0011534025374855825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003942181340341655,0.0,0.0,0.0,0.0,0.0,0.0,0.002205071664829107,0.0016666666666666668,0.0,0.0,0.0,0.0,0.0007457121551081282,0.0,0.002127659574468085,0.0,0.0,0.0007987220447284345,0.0,0.0,0.0,0.0016194331983805667,0.0007656967840735069,0.0,0.0008143322475570033,0.00361794500723589,0.0,0.0,0.0,0.0,0.0,0.0,0.0007230657989877079,0.0,0.0015625,0.0,0.0,0.0
aandacht,0.00410958904109589,0.0,0.0,0.0023446658851113715,0.0061068702290076335,0.0,0.0,0.0,0.0,0.0,0.0,0.002355712603062426,0.0012642225031605564,0.0013351134846461949,0.0,0.005082592121982211,0.0,0.0,0.0,0.0014367816091954023,0.0008396305625524769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008333333333333334,0.0030303030303030303,0.001718213058419244,0.0008952551477170994,0.0018115942028985507,0.0007457121551081282,0.0,0.0010638297872340426,0.0029296875,0.0008438818565400844,0.0007987220447284345,0.00078003120124805,0.0,0.002274450341167551,0.0,0.0,0.0006925207756232687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00078125,0.001445086705202312,0.002411575562700965,0.0
radiofrequentie,0.0013698630136986301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
doen,0.00410958904109589,0.01634877384196185,0.015555555555555555,0.007033997655334115,0.016793893129770993,0.011534025374855825,0.017928286852589643,0.002531645569620253,0.010680907877169559,0.007712082262210797,0.01694915254237288,0.007067137809187279,0.007585335018963337,0.006675567423230975,0.006756756756756757,0.008894536213468869,0.009478672985781991,0.013142174432497013,0.009124087591240875,0.005747126436781609,0.0033585222502099076,0.010512483574244415,0.004555808656036446,0.004261363636363636,0.00858704137392662,0.006956521739130435,0.008051529790660225,0.009927797833935019,0.008820286659316428,0.0075,0.01818181818181818,0.006872852233676976,0.005371530886302597,0.01358695652173913,0.014168530947054437,0.0017391304347826088,0.011702127659574468,0.00390625,0.008438818565400843,0.00718849840255591,0.00858034321372855,0.007240547063555913,0.006823351023502654,0.012955465587044534,0.006891271056661562,0.014542936288088643,0.007328990228013029,0.015918958031837915,0.011970534069981584,0.010810810810810811,0.015111111111111112,0.01282051282051282,0.008976660682226212,0.010301109350237718,0.015907447577729574,0.007930785868781542,0.01640625,0.01083815028901734,0.017684887459807074,0.011210762331838564
steun,0.0027397260273972603,0.0,0.0,0.0,0.0015267175572519084,0.0011534025374855825,0.0,0.0,0.0013351134846461949,0.0012853470437017994,0.0,0.0,0.0,0.0013351134846461949,0.0,0.0,0.0,0.0,0.0,0.0014367816091954023,0.0,0.0,0.0,0.002840909090909091,0.0,0.006956521739130435,0.004830917874396135,0.0,0.0,0.0,0.00202020202020202,0.0,0.0,0.0,0.0007457121551081282,0.0,0.0010638297872340426,0.0,0.0008438818565400844,0.001597444089456869,0.0039001560062402497,0.0,0.002274450341167551,0.0,0.0,0.0,0.0,0.0,0.0009208103130755065,0.0,0.0,0.0,0.0008976660682226212,0.002377179080824089,0.0007230657989877079,0.0007209805335255948,0.0,0.002890173410404624,0.0,0.0
bevestigen,0.0013698630136986301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014204545454545455,0.00078064012490242,0.0,0.0,0.0,0.0,0.0008333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008438818565400844,0.0,0.00078003120124805,0.0,0.0,0.0,0.0007656967840735069,0.0,0.0,0.000723589001447178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
waarbij,0.0027397260273972603,0.0027247956403269754,0.006666666666666667,0.004689331770222743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002355712603062426,0.0037926675094816687,0.0026702269692923898,0.005405405405405406,0.0012706480304955528,0.001184834123222749,0.0,0.0,0.0014367816091954023,0.0008396305625524769,0.003942181340341655,0.0,0.0,0.0039032006245121,0.0,0.0,0.002707581227436823,0.0,0.0016666666666666668,0.00202020202020202,0.003436426116838488,0.0026857654431512983,0.002717391304347826,0.0007457121551081282,0.0017391304347826088,0.0010638297872340426,0.001953125,0.002531645569620253,0.003993610223642172,0.00234009360374415,0.0016090104585679806,0.003032600454890068,0.004048582995951417,0.0038284839203675345,0.0034626038781163434,0.0,0.001447178002894356,0.0027624309392265192,0.0009009009009009009,0.0044444444444444444,0.004807692307692308,0.0026929982046678637,0.005546751188589541,0.0036153289949385392,0.0014419610670511895,0.003125,0.002167630057803468,0.002411575562700965,0.002242152466367713
