word,2020-03-06,2020-03-09,2020-03-12,2020-03-13,2020-03-19,2020-03-20,2020-03-23,2020-03-25,2020-03-27,2020-03-31,2020-04-02,2020-04-03,2020-04-07,2020-04-09,2020-04-15,2020-04-17,2020-04-21,2020-04-24,2020-04-29,2020-05-01,2020-05-06,2020-05-08,2020-05-13,2020-05-15,2020-05-19,2020-05-20,2020-05-27,2020-06-24,2020-06-26,2020-08-06,2020-08-18,2020-09-01,2020-09-18,2020-09-28,2020-10-13,2020-10-27,2020-11-03,2020-11-17,2020-12-08,2021-01-12,2021-01-20,2021-02-03,2021-02-23,2021-03-08,2021-03-23,2021-04-14,2021-04-20,2021-05-11,2021-05-28,2021-06-18,2021-07-09,2021-07-13,2021-08-13,2021-09-14,2021-11-03,2021-11-12,2021-11-27,2021-12-14,2021-12-18,2022-01-14
voelen,0.0006997611284465627,0.011135163460839034,0.0,0.0,0.0007798864484976957,0.0017675627119930475,0.0,0.0,0.0,0.0,0.0,0.0012033583598727697,0.0,0.000682010178592778,0.0,0.0006490795727649184,0.001815730890163474,0.0006103054047383402,0.0,0.0007339448617327453,0.0004289048058488587,0.0006712557473928919,0.0,0.0,0.0007975419574800792,0.0,0.0008225855455168933,0.001383101869402502,0.0,0.0004256880198049923,0.0015479564356545173,0.001755414514659762,0.0013719578077869045,0.0,0.0011427866303489725,0.0,0.0,0.001496559444626926,0.0025864588545113456,0.0016320307468562004,0.00039845992493447015,0.0,0.0015491300190022463,0.0008272479737101064,0.0003911375373399623,0.0,0.0004159817783110674,0.0,0.0014111205076408583,0.0,0.0,0.0,0.0,0.0008095493245102864,0.001108081613375251,0.0018414766538067436,0.0003990825185671803,0.0007381873175809114,0.00041063153035851346,0.005726744661053707
deskundig,0.002608030791217759,0.005187636178716524,0.0025384833034519526,0.004463921401146458,0.0005813320542256379,0.007466127363093977,0.0,0.000963981001310868,0.0,0.003425973610057262,0.0,0.0031394669830677856,0.0014441434722545872,0.0030502469600891284,0.0005145574263753957,0.0033867947504759213,0.003158065721119135,0.0036394025855941967,0.0,0.0,0.0019182493476966895,0.0015010742267455696,0.0008673633155302798,0.003245220132253916,0.0017834777307624958,0.0,0.0,0.00034365748692941593,0.0,0.0,0.0007692373646824098,0.0016356206852138869,0.00034088853672139017,0.000344902622751624,0.0,0.0,0.0,0.0014873925606163783,0.0,0.0015206569309816008,0.0005940288541619234,0.0003063334638115791,0.0005773654215584425,0.0015415890506793233,0.0002915562752816178,0.0013184643196599475,0.0003100753220828932,0.0,0.0,0.0,0.00033846444046026035,0.0,0.00034180654893877275,0.00030172147029936046,0.0002753235687041163,0.0,0.0014873925606163783,0.0008253739064692041,0.0003060872150464573,0.0
aanstaande,0.001575213127473507,0.0,0.0,0.0,0.0,0.0,0.0,0.014555766874122281,0.0030705089000151137,0.011824221933734294,0.0024362406420670767,0.0,0.0,0.0,0.0,0.001461125264365515,0.0,0.0,0.0,0.0,0.0019309917431665157,0.004533136332676715,0.0,0.0,0.0,0.0,0.011110198870102997,0.0,0.0012678121092124148,0.0,0.0,0.0,0.0010294588926192123,0.0,0.0,0.0,0.0024466076235226814,0.0011229546709527931,0.0,0.003673819754171438,0.004484811166363729,0.0009251050547511345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00103595097572582,0.0,0.0,0.0,0.0,0.0,0.0,0.0008983637367622346,0.0,0.0018487228023402896,0.0
reisadvies,0.003987088308511896,0.0,0.0,0.0,0.0,0.0016785319868591027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005737006173220139,0.0,0.0,0.0,0.0,0.0,0.0,0.003209012640808913,0.0024254787210114034,0.0,0.0,0.0,0.0,0.001085225378528592,0.0,0.0030963558140571106,0.0,0.0,0.0011623699940949217,0.0,0.0,0.0,0.002356740457662902,0.0011143087539102925,0.0,0.001185087322969741,0.005265149177304059,0.0,0.0,0.0,0.0,0.0,0.0,0.0010522684256014765,0.0,0.0022738863009481905,0.0,0.0,0.0
aandacht,0.003597816728851643,0.0,0.0,0.0020526816819552165,0.005346373968573434,0.0,0.0,0.0,0.0,0.0,0.0,0.002062352738171731,0.001106787278576359,0.0011688501166273696,0.0,0.004449650507516645,0.0,0.0,0.0,0.0012578573812556033,0.0007350703084415616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00072955728112825,0.0026529355677390905,0.001504241816759278,0.0007837678937814681,0.001585994089409239,0.0006528476788619685,0.0,0.0009313497205892552,0.0025648498164665035,0.0007387921834210126,0.0006992561799951276,0.000682892930853276,0.0,0.0019912101683561027,0.0,0.0,0.0006062802890262465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006839599510577343,0.0012651282331703755,0.002111259012911334,0.0
radiofrequentie,0.005608691181126165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
doen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
steun,0.002626987250117674,0.0,0.0,0.0,0.0014638936584625206,0.0011059404224832191,0.0,0.0,0.0012801740270933924,0.0012324554579600912,0.0,0.0,0.0,0.0012801740270933924,0.0,0.0,0.0,0.0,0.0,0.0013776585435243548,0.0,0.0,0.0,0.0027240066656049745,0.0,0.006670263278559659,0.004632127276777541,0.0,0.0,0.0,0.0019370714066524262,0.0,0.0,0.0,0.0007150263581602915,0.0,0.001020053559886118,0.0,0.0008091564103737983,0.0015317098183593465,0.003739665937179996,0.0,0.002180857497254627,0.0,0.0,0.0,0.0,0.0,0.00088291928756257,0.0,0.0,0.0,0.0008607274203706921,0.0022793589848485365,0.0006933118917519529,0.000691312434241493,0.0,0.002771243775413153,0.0,0.0
bevestigen,0.0027601411240304997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028620781541793534,0.0015729141456223767,0.0,0.0,0.0,0.0,0.0016790858504518874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00170034010172343,0.0,0.001571687223511907,0.0,0.0,0.0,0.0015428047630492072,0.0,0.0,0.00145796166464708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
waarbij,0.0007881700615117284,0.0007838748568168415,0.0019178804830118725,0.0013490366820716568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006776962837497781,0.0010910824492482206,0.0007681764284426725,0.0015550382294690858,0.00036554265876973424,0.0003408555360803091,0.0,0.0,0.000413336310993938,0.00024154666032895117,0.0011340948979702266,0.0,0.0,0.0011228808448547263,0.0,0.0,0.0007789225788405618,0.0,0.00047947012075296813,0.0005811759039429916,0.0009885981871195217,0.0007726465688051411,0.0007817447620972305,0.00021452801823399018,0.0005003166477422276,0.00030604475792742644,0.0005618790477573845,0.0007283090441817237,0.0011488900657020001,0.0006732029776562735,0.00046288346331742694,0.0008724247837809881,0.0011647047467683435,0.001101386188559651,0.0009961290597360832,0.0,0.0004163271670792776,0.0007947018576016045,0.00025917303824484763,0.0012785869886745816,0.001383086886787408,0.0007747273046277761,0.0015957008773078178,0.0010400653378589328,0.00041482634816406754,0.0008990064764118152,0.0006235883073376752,0.0006937670557518831,0.0006450270682775355
