word,2020-03-06,2020-03-09,2020-03-12,2020-03-13,2020-03-15,2020-03-17,2020-03-19,2020-03-20,2020-03-23,2020-03-25,2020-03-27,2020-03-31,2020-04-02,2020-04-03,2020-04-07,2020-04-09,2020-04-15,2020-04-17,2020-04-21,2020-04-24,2020-04-29,2020-05-01,2020-05-06,2020-05-08,2020-05-13,2020-05-15,2020-05-19,2020-05-20,2020-05-27,2020-06-24,2020-06-26,2020-08-06,2020-08-18,2020-09-01,2020-09-18,2020-09-28,2020-10-13,2020-10-27,2020-11-03,2020-11-17,2020-12-08,2021-01-12,2021-01-20,2021-02-03,2021-02-23,2021-03-08,2021-03-23,2021-04-14,2021-04-20,2021-05-11,2021-05-28,2021-06-18,2021-07-09,2021-07-13,2021-08-13,2021-09-14,2021-11-03,2021-11-12,2021-11-27,2021-12-14,2021-12-18,2022-01-14
informeel,0.005653608746637112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
onderling,0.0018555420038428908,0.0,0.0,0.001587978502702591,0.0,0.0,0.0020461414846001664,0.0,0.0026559718878535494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004814735768265321,0.0,0.002471798654754216,0.0,0.0011373179368642404,0.0,0.0,0.0,0.003172238086195106,0.0,0.0,0.0024450282722117515,0.0,0.0011287880523377586,0.0013682279422275862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00324571644442167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001220311407932712,0.0,0.0,0.0012159296793584475,0.0,0.0,0.0,0.0,0.0,0.0010888630729946223,0.003037097898666615
europese,0.006199463624608771,0.0,0.0,0.005305519866312312,0.0,0.0,0.0,0.0,0.0,0.0028643091430154448,0.0,0.0,0.0,0.003997887319756539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007731677299483603,0.0016071052720044042,0.0,0.0019676558460714794,0.0018219035611772955,0.0,0.002494822737576848,0.008485515836183254,0.0,0.0019439898822871144,0.0,0.0,0.0008437003068539154,0.0,0.0,0.001104884874503028,0.0028643091430154448,0.0,0.0008825289481209834,0.005461313490705231,0.0017155452789857477,0.0,0.0,0.0007835194677916209,0.0,0.002456010372267223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018189744557734735,0.0
aandienen,0.0063982874405946214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0045791665016020324,0.0,0.0,0.0,0.0,0.0,0.0029524335218925877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020063358383307873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017705647580114,0.0,0.0,0.0,0.0,0.0,0.0,0.002103941365600934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
meest,0.0006706140072858984,0.004001756610234652,0.0,0.0,0.0,0.0,0.0007394988297865647,0.0,0.0009598984810170702,0.0,0.0,0.0,0.0,0.0,0.0018566936484906667,0.0,0.0013231033116721778,0.0,0.0017401003269622243,0.0,0.0,0.0007033738869521635,0.0004110396518209116,0.0,0.0,0.0,0.000764321975517105,0.0,0.0,0.00044183052826598,0.0,0.0,0.0009889863137751633,0.0004205740767342833,0.00043827056877234177,0.0,0.001095186186395315,0.0,0.001041591968763204,0.0019122977551511945,0.0037180877872306766,0.003128103676157864,0.004582354683170413,0.004332285179811555,0.002226906256188199,0.0011891859724341032,0.001874227508877128,0.0027121785336216386,0.00039865490661132396,0.0010626951345558014,0.002704686327727656,0.0013231033116721778,0.00043515397806107183,0.0015690648247394417,0.00043945083062720447,0.00232748760056437,0.0,0.0010588642220303657,0.002677216857211672,0.0003537198159817238,0.0011805825369422167,0.0005488208804021365
westelijk,0.005653608746637112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
los,0.0021340535165025936,0.0,0.0,0.0,0.0,0.0,0.0005883153576461077,0.0008984193004884045,0.0007636564054151438,0.0,0.0,0.0,0.0024754116531465467,0.00045873352975467997,0.0009847402446566962,0.000519979661898162,0.0,0.0,0.0,0.0004653103545540302,0.0,0.0011191516286256416,0.0,0.0,0.0,0.0005532169982410842,0.0006080636483399272,0.0020319900874524698,0.0006271574343989103,0.0,0.00042939886081777654,0.0006491079446028723,0.0007867975086095421,0.0003345917240220991,0.00034867033729787223,0.0003527760568493871,0.0005808572211211384,0.0,0.0008286484399185602,0.0030426934903259634,0.000985986751295502,0.0009332222845728195,0.0003037946698609386,0.0006266528829633521,0.0005905455144226282,0.0009460682593402186,0.00178927151651634,0.0013485622117788204,0.0009514611565840145,0.0008454372650399204,0.0014344926952549661,0.0014034766369791832,0.0010385727113645955,0.0,0.002796874447121891,0.0027774824887920047,0.0008448259582683803,0.0011231860613171545,0.0,0.0019698362480723,0.0,0.001309859081037186
managen,0.004704092060938556,0.0,0.0,0.0,0.0,0.0,0.005187291849675447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cpb,0.008297320811991731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030591132286636184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002788694379720978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
staan,0.0004076460915564837,0.0,0.0007596905644980422,0.00029072063973840673,0.0,0.0,0.0004495191039822253,0.0006864628531400995,0.00029174671258454227,0.0003766856289066242,0.00019865263473713826,0.0002520810223093885,0.0003152347953773656,0.0003505084179460932,0.00031350784538161934,0.0005959579042114148,0.0005361831474526723,0.00012604051115469426,0.0006464056309633815,0.00017776681411961357,0.0004525268352132498,0.0007125997290139682,0.0007495759366151968,0.000456213650427865,0.0005648854343892049,0.0010567530072309414,0.0003484562609323573,0.0005175332988456229,0.0011979937473278305,0.0004028632403017596,0.00038277683349019324,0.0004546386271109117,0.0007013708847992026,0.0005113086715399194,0.0005328230023925392,0.00022462382762396824,0.0007397008372762444,0.0005175332988456229,0.0006331524400770917,0.00033904158981992705,0.001213764804254678,0.0003961417023911516,0.00034818445417655983,0.0005985149775467279,0.00033841733908593607,0.0004015946650961311,0.0004936908382939038,0.0004465098579029352,0.0005654374396996829,0.000825419425619074,0.0005023631238794604,0.0009383205080421766,0.0007494648883282908,0.0011127518845371965,0.000311650438039143,0.0006288043250633557,0.0005737896299565835,0.0006078932944263354,0.00042622371291647974,0.0001791797006480209,0.0005182960086911884,0.00033361171169981295
