word,nos
terugroepen,1
9,1
lumc,1
milieucommissie,1
levensgevaar,1
beademingsapparatuur,1
gratis,1
bui,1
tweepersoonskamer,1
beademen,1
dokter,1
spotter,1
aanvaardbaar,2
zomaar,2
subsidie,4
seizoen,1
jeugdjournaal,1
bonten,2
400,1
machete,1
waardering,1
teken,1
brits,5
begeleiden,1
gebrek,3
auschwitz,1
terecht,1
penicilline,1
keuze,2
alledag,1
argument,1
r0,1
verenso,1
land-,1
patiënt,29
wc-papi,1
steek,1
schatting,1
verkiezing,1
sport,1
po-raad,1
verband,2
nadenken,1
gevangenenruil,2
gooien,1
appartement,1
tragedie,2
naleven,1
ruimte,2
teleurstellen,1
coronabonds,1
nadrukkelijk,1
verontwaardigen,1
tegenhoud,1
40,2
verhuizen,1
dollar,1
winnen,1
noordwestenwind,1
werkelijkheid,1
damascus,1
tillift,1
oppakken,1
concern,4
stomverbaasd,1
zender,1
winkelbedrijf,2
ontvluchten,1
geliefd,1
leveren,2
tulpenbol,1
eu,1
onderzoek,7
2006,1
slaan,4
speculeren,1
wapenopslagplaats,1
bijsturen,1
gerust,1
marcel,2
euro,14
inderdaad,2
2007,1
benadrukken,7
voorkomen,3
1-aprilgrappen,1
moordplan,1
streek,1
voedseldropping,1
syrië,1
china,2
722,1
station,3
schakelen,1
duits,6
bodemdaling,2
voorwaarde,4
hoofdofficier,3
mastenbroek,1
ondervragen,1
roepen,6
coördinatie,1
al.,1
overdragen,1
brasilia,1
gezondheidsprobleem,1
traditie,1
krant,1
massaal,1
besluit,7
jegen,3
ontlading,1
tweewekelijks,1
bericht,2
opdoen,1
aanmerken,1
bevestigen,2
expliciet,1
regio,1
online-bijeenkomsten,1
oorlogstijd,1
werkzaamheid,1
tulip,1
vroeger,1
nee,1
mariam,1
democratie,1
plannen,1
vereniging,5
site,2
weghalen,1
acht,1
prominent,1
informatie,2
twaalf,1
nies,1
1191,2
martijn,1
niemand,3
buurtbewoner,1
frans,4
herkennen,2
belgië,1
helpen,10
neerzett,1
beschermen,3
compliment,1
samen,5
noordeloos,2
spanjaarden,1
nos-redacteur,1
stoet,1
nationaal,2
blog,1
no,1
standaardverpakking,1
social,1
nou,1
verbinden,1
coronacrisi,18
judith,1
moederbedrijf,2
koningshuis,2
centrum,3
beeld,1
helemaal,5
bioscoop,1
voorziening,1
bevinden,1
meenemen,1
21.00,1
angst,3
70,1
d.,2
voedselvoorziening,1
eenmalig,2
achteren,1
erover,1
schout,3
vele,1
wattedoeninberlijn.nl,1
angela,1
marie,1
specifiek,1
alternatief,1
volk,1
vormen,1
john,1
stijgen,6
halen,3
zuiden,1
populair,1
erasmus,1
daarvoor,2
laptop,4
aantal,36
vredesakkoord,1
ontraden,1
verzetten,1
onbuigzaam,1
kroongetuig,1
uitvoeren,4
feno,2
daas,1
afvlakken,1
zaken,2
leerkracht,2
spd,1
vanzelfsprekend,1
oxfam,1
maart,9
weekeinde,1
versterken,1
bevoegdheid,1
maatregel,23
wantrouwig,1
verrassen,1
schenken,1
ouderengeneeskunde,1
escher,1
donderdag,1
reizen,1
reden,7
dwangarbeider,1
nemen,24
instituut,1
contactpersoon,1
aanbreken,1
handelswijze,1
veranderen,1
badderen,1
intact,1
lidstaat,1
vrachtwagen,1
juist,3
sommigen,2
447,1
veteranen,1
aanwijzing,1
jonge,2
denken,14
besluiten,3
stoffig,1
meewerken,1
breed,1
rtv,2
soort,4
psychologiedocent,1
weten,10
kamerdebat,1
groep,7
maatschappij,1
man,15
erg,7
grieks,1
stampen,1
aankomen,1
armoede,1
registreren,1
systeem,1
instelling,1
contact,6
verantwoordelijk,1
socialist,1
care,3
2500,1
aanwezig,3
instagram-account,1
bouw,1
neerschieten,1
bevolking,4
aanpakken,1
regel,5
psychologie,1
stadsrondleidingen,1
verdachte,4
fijn,3
locatiegegeven,1
verpleeghuis,1
hoofdluiscontrole,1
neerhalen,2
straks,1
middelbaar,2
contactbeperking,1
youtube-account,1
duitsers,1
westerveld,1
harry,7
bündni,1
ontdekken,1
rookruimte,1
fd,1
openstaan,1
fokke&sukk,1
afspraak,1
oproep,2
nauw,2
beiroet,1
draaien,3
1926,1
bevriezen,2
totaal,7
toestand,1
ziek,2
vergroten,1
mededelen,1
2011,1
veel,3
vermelden,1
informeren,1
grappig,1
zakken,2
focus,1
rechts,1
intimideren,1
zweden,1
televisieprogramma,1
bitter,1
gommers,4
locatiedata,1
marion,1
meneer,1
brengen,8
inspelen,2
televisieverbinding,1
beoordelingsgesprek,1
interview,3
expert,2
bewonderen,1
vol,2
leids,1
burgers,2
steenwijkerland,1
case,1
verzet,1
overal,1
godfroid,1
prettig,1
saamhorigheid,1
programma,1
oost,2
shahid,1
horst,5
gesprek,11
ervan,2
uitspraak,1
parket,2
vrouwenorganisatie,1
anderhalf,4
winkelketen,4
vertegenwoordiger,1
voltooien,1
onzekerheidsmarge,1
groeien,3
28-jarige,1
getuige,2
ontmoedigen,2
kijken,12
ziektedag,1
financiën,2
agent,3
3,2
kern,1
175,1
ties,1
kritisch,3
vliegramp,1
vaak,4
arts,5
hulpverlener,1
huiswerkbegeleiding,2
bedreigen,1
charismatisch,1
failliet,1
opofferen,1
grafiek,1
state,3
york,7
verschillend,9
maker,1
camping,2
taghi,5
rug,1
fred,2
volwaardig,1
se,1
toon,2
getal,4
bureaucratie,1
rivm-woordvoerder,1
vals,1
leeftijd,4
gisteravond,4
richting,3
dividend,1
huurder,5
paasweekeinen,1
projectie,1
wendela,1
frontlinie,1
gras,2
ziekenhuiscijfer,1
augustus,2
moordenaar,1
vrijlating,1
langjarig,1
verdenken,9
voorspellen,1
verstandig,1
eschermuseum,3
liquidatie,6
specialisme,1
banken,1
verliezen,2
esther,1
ochtend,1
behandelplek,1
handig,1
teruggaan,1
eenheid,1
keten,4
infectieziekte,1
bron,1
fonds,3
speech,1
italiaans,3
doolhof,1
tv-toespraak,1
dwars,1
broeder,1
beursgenoteerd,1
bewijs,1
bevrijder,1
wiersum,6
pizza,1
simpel,1
boodschap,5
2018,2
heen,1
scheepsramp,1
gelderland,1
bewijzen,1
2050,1
europees,13
update,1
afkondigen,1
reageren,2
ontslag,1
