word,nos
online-aanvraagformulier,1
verwarren,1
oplopen,3
minister,15
worden,1
geriatrie,2
intensivecarebeden,2
geloofsgemeenschap,1
brajneh,1
doodsbang,1
weekend,1
verlaten,2
rol,2
plek,7
zaterdag,1
bereid,2
conte,2
erin,1
achterhalen,2
onenigheid,1
sigaar,1
politie,8
goed,38
moeilijk,6
rookvrij,1
stromen,1
combineren,1
ronald,1
voorzichtig,1
nieuwsuur,2
abikhalil,3
jank,1
vreugdevol,1
bart,1
ruimen,1
uitkomen,1
solidair,1
covid-besmetting,1
aanleveren,1
strook,1
tafel,1
coronafond,3
herdenking,1
café,1
president,7
lam,1
derde,2
ittersum,3
dagkoers,1
stikstofregel,1
aap,1
continu,1
ziekte,1
zowel,1
schrijfster,1
oorlogsmaand,1
gedegen,1
slot,2
lang,6
overwegen,1
bewoner,2
bijdrage,2
ratib,3
voorzorgsmaatregel,1
desnoods,2
voeren,1
opgeven,1
aanhanger,1
ic-capaciteit,1
eenzijdig,2
kleur,1
gaan,64
134,1
wc,1
palestijns,2
jeugdzorg,1
logistiek,3
start,2
depressie,1
zieken,1
gronings,1
gebruikelijk,1
motorclub,2
opsporen,1
zuid-holland,1
job,1
optimisme,1
richten,3
meter,1
check,1
ronde,1
nieuw,22
reisbureau,1
pot,1
coronagrap,1
terug,8
pari,3
contract,1
rondgaan,2
lotte,1
noodfonds,3
npo,1
zeeland,1
winkel,10
ijsselmeer,1
schouten,1
haag,3
epidemie,1
wegnemen,1
vergoeding,1
bezig,3
noemen,9
eenvoudig,1
vermoeden,1
vastzitt,2
aandacht,4
links,2
celstraf,1
via,5
aanmerkelijk,1
verspreiden,1
staatslening,1
irriteren,1
gendergelijkheid,1
presenteren,2
no-go,1
opzijleggen,1
83.712,1
onbeschrijfelijk,1
doorgaan,1
fundamenteel,1
compleet,1
medemaker,1
zogenoemd,3
uitzondering,1
corona,8
honderd,5
euro-,1
zolang,1
hulpmiddel,2
nergens,2
dissel,10
uitmonden,1
bewak,1
onmiddellijk,1
inhoudelijk,2
blogger,1
proberen,9
indonesië,1
noodafdeling,1
interfamiliair,1
paleis,1
viroloog,1
vriendschap,1
hevig,1
empathisch,2
daarmee,7
parfumerie,2
voedselpakket,1
ploeg,1
strafrechtelijk,1
ondersteuning,1
onderwijs,2
duizend,4
honderdduizend,1
blij,1
internist,1
betalingstermijn,1
kinderzending,1
verklaren,1
herhalen,1
berlijns,1
schooljaar,1
noodhulp,1
wartaal,1
toebedelen,1
buitenlandse,1
pvv,1
verdubbelen,1
5,2
iedereen,14
vanmiddag,1
ontsnapping,1
organisatie,5
kennen,6
sector,4
treffen,6
landelijk,6
stikstofconcentratie,1
controleren,2
twijfel,1
begrijpelijk,1
cent,2
seks,3
achtti,1
eraan,3
investeringsmaatschappij,1
paar,3
zo'n,17
bruines,3
quarantainemaatregel,1
keer,2
16,2
vluchtelingenkamp,2
schrijven,7
overleggen,1
waarbij,5
loop,2
ver,2
vliegtuig,1
doelgericht,1
nodig,11
verpleegafdeling,1
18,1
bedenken,3
druk,7
misbruik,1
sorteren,1
opzijzetten,1
opleveren,1
oog,4
boek,1
ver.,2
charles,1
brabants,1
openlijk,1
jaap,3
b.'s,1
marktverkenning,1
internetverbinding,1
winkelstraat,2
1-aprilgrapp,1
inkomen,1
wolkenveld,1
27,1
bakker,3
1,14
wereldgezondheidsorganisatie,1
afhandelen,1
belasting,1
straat,2
vragen,5
gemeente,7
minuut,1
buitenwereld,1
veroordelen,1
toenadering,1
naarmate,1
stroperig,1
neerzitt,1
hoax,1
woordvoerder,7
temptation,1
topman,1
strakgeleid,1
slim,1
laboratorium,1
zuid-europees,2
overbrengen,1
levensverwachting,1
maandag,2
schoolplein,1
lange,1
distancing,1
bedoeling,2
introductie,1
individueel,1
berekening,1
opeens,1
tweede,11
finland,1
2017,3
gang,1
terugzoeken,1
water,3
gezin,3
abortus,1
ethiek,1
houding,3
roken,1
stranden,1
rookwaren,1
veroorzaken,3
voortbestaan,3
overleven,1
partij,3
dé,1
sorry,1
afname,2
arnhem,1
waarin,5
oorlog,2
bekopen,1
chris,1
vangen,3
overheidsgebouw,1
surinaams,1
ontsnappen,1
coronabrandhaard,1
komst,1
inwoner,3
januari,2
libanon,6
vrezen,3
betalen,8
obstakel,1
rand,2
hema,7
incident,1
legerleiding,1
ingaan,1
individu,1
medicijn,1
pakken,1
allerlei,4
schooltijd,1
stress,1
toekennen,1
zoeken,2
lelystad,1
beginnen,4
24,3
afbouwen,1
natuur,1
stilstaan,1
vrij,1
arts-microbioloog,1
aandeel,1
letterlijk,1
kritiek,7
genootschap,2
geleidelijk,2
nsb-gezinn,1
wirtschaftswunder,1
schermen,1
klimaat,1
reëel,1
aanraking,1
meghan,3
reiziger,1
percentage,1
enigszins,1
steunmaatregel,1
kwaliteit,1
storting,1
voortduren,1
privacyregel,1
regeringswoordvoerder,1
ici,4
verkeer,2
11,1
dubbel,1
basketballen,1
omgeving,2
amerika,3
verlenen,1
special,1
stap,1
betwisten,1
koopmans,2
doodslag,1
militair,1
ic-bed,1
zuid-europa,2
moord,4
neer,1
nabestaande,3
groningen,1
vastlopen,1
h&m,1
telegraaf,1
doodschieten,3
klant,1
wakker,1
wijk,2
linke,1
millimeter,2
veilig,2
prijzen,1
medisch,5
coördinatiecentrum,1
ziekenhuis,19
2030,3
toespraak,1
kremers,1
paolo,1
veiligheid,2
heus,1
verwijderen,2
meehelpen,1
baan,1
toetakelen,1
cartoonist,1
diederik,2
gaarkeukens,1
marktpartij,4
buurtcomité,1
aanpassing,1
miljardair,1
100.000,5
eromhe,1
onduidelijk,1
aanvraag,1
fysiek,1
ambtenaar,1
new,7
volgapparatuur,1
willen,11
onmogelijk,3
hand,10
avontuurlijk,1
opname,3
stilleggen,1
1900,3
school,6
delen,2
vuurwerkaanslag,1
tijdelijk,2
hof,1
succesvol,1
juridisch,7
muur,2
verlengen,1
tevreden,1
beslissing,3
plakken,1
afghanistan,3
blijken,7
orde,2
12,2
coronapatient,1
lening,1
degelijk,2
lingerieketen,1
rotterdam-zuid,1
uitnodigen,1
naties,2
ic,15
verwerpen,1
jumbo,1
kunstenplan,2
ineens,4
gemiddeld,10
been,2
gezondheid,2
periode,4
coronahoester,1
veiligheidsregio,1
illegaal,1
bedanken,1
rode,1
huurkorting,1
rammelen,1
blijk,1
west,1
carola,1
caloh,2
uitbreiden,3
horen,5
werken,14
bijzaak,1
vlak,1
vorig,13
thuiszitten,1
"246,4",1
gevaar,3
verenigde,4
positie,1
potten-en-pannenprotest,1
restaurant,1
gistermorgen,1
regelen,2
213,1
verbod,1
huiverig,1
nabijheid,1
maand,5
car,4
vrucht,1
specialist,3
emma,4
lockdown,3
verzachten,2
preneel,2
tram,1
gasveld,1
tablet,1
hulporganisatie,1
kinderboerderij,1
voet,1
studiezalen,1
zijn,1
lanceren,1
aanscherpen,1
pandemie,1
terugkeer,1
kans,5
vlucht,4
komen,56
bluetooth,1
vastzit,1
feit,1
levensfase,1
operatie,1
volger,1
kabul,1
paperassen,1
ermee,1
uitzenden,1
derk,3
naam,1
bevestiging,1
beperking,2
corona-ellende,1
werkloos,1
hoog,9
volgen,10
zetten,6
covid-19,2
mededeling,2
lcps,1
kopen,2
rokers,1
brabant,6
verbreding,1
spel,1
beademingsbui,1
stabiliseren,2
gezamenlijk,1
inwillig,1
9500,1
japans,1
8,1
roker,1
