;Version;Date_of_report;Date_of_statistics;IC_admission_notification;IC_admission
113;1;2022-02-03 00:30:00;2020-06-19;0;0
114;1;2022-02-03 00:30:00;2020-06-20;2;2
115;1;2022-02-03 00:30:00;2020-06-21;1;0
116;1;2022-02-03 00:30:00;2020-06-22;2;3
117;1;2022-02-03 00:30:00;2020-06-23;0;1
118;1;2022-02-03 00:30:00;2020-06-24;2;1
119;1;2022-02-03 00:30:00;2020-06-25;0;0
120;1;2022-02-03 00:30:00;2020-06-26;2;0
121;1;2022-02-03 00:30:00;2020-06-27;0;0
122;1;2022-02-03 00:30:00;2020-06-28;0;0
123;1;2022-02-03 00:30:00;2020-06-29;1;0
124;1;2022-02-03 00:30:00;2020-06-30;0;2
125;1;2022-02-03 00:30:00;2020-07-01;1;0
126;1;2022-02-03 00:30:00;2020-07-02;0;2
127;1;2022-02-03 00:30:00;2020-07-03;3;0
128;1;2022-02-03 00:30:00;2020-07-04;0;1
129;1;2022-02-03 00:30:00;2020-07-05;0;0
130;1;2022-02-03 00:30:00;2020-07-06;1;0
131;1;2022-02-03 00:30:00;2020-07-07;1;1
132;1;2022-02-03 00:30:00;2020-07-08;0;2
133;1;2022-02-03 00:30:00;2020-07-09;2;1
134;1;2022-02-03 00:30:00;2020-07-10;0;1
135;1;2022-02-03 00:30:00;2020-07-11;0;0
136;1;2022-02-03 00:30:00;2020-07-12;0;1
137;1;2022-02-03 00:30:00;2020-07-13;1;0
138;1;2022-02-03 00:30:00;2020-07-14;12;0
139;1;2022-02-03 00:30:00;2020-07-15;1;1
140;1;2022-02-03 00:30:00;2020-07-16;0;1
141;1;2022-02-03 00:30:00;2020-07-17;0;0
142;1;2022-02-03 00:30:00;2020-07-18;0;0
143;1;2022-02-03 00:30:00;2020-07-19;0;1
144;1;2022-02-03 00:30:00;2020-07-20;2;0
145;1;2022-02-03 00:30:00;2020-07-21;1;2
146;1;2022-02-03 00:30:00;2020-07-22;2;1
147;1;2022-02-03 00:30:00;2020-07-23;1;1
148;1;2022-02-03 00:30:00;2020-07-24;0;1
149;1;2022-02-03 00:30:00;2020-07-25;1;1
150;1;2022-02-03 00:30:00;2020-07-26;0;3
151;1;2022-02-03 00:30:00;2020-07-27;7;3
152;1;2022-02-03 00:30:00;2020-07-28;0;0
153;1;2022-02-03 00:30:00;2020-07-29;0;0
154;1;2022-02-03 00:30:00;2020-07-30;2;3
155;1;2022-02-03 00:30:00;2020-07-31;2;4
156;1;2022-02-03 00:30:00;2020-08-01;2;2
157;1;2022-02-03 00:30:00;2020-08-02;0;2
158;1;2022-02-03 00:30:00;2020-08-03;5;3
159;1;2022-02-03 00:30:00;2020-08-04;6;3
160;1;2022-02-03 00:30:00;2020-08-05;2;2
161;1;2022-02-03 00:30:00;2020-08-06;3;3
162;1;2022-02-03 00:30:00;2020-08-07;1;1
163;1;2022-02-03 00:30:00;2020-08-08;1;1
164;1;2022-02-03 00:30:00;2020-08-09;3;5
165;1;2022-02-03 00:30:00;2020-08-10;3;4
166;1;2022-02-03 00:30:00;2020-08-11;4;3
167;1;2022-02-03 00:30:00;2020-08-12;3;4
168;1;2022-02-03 00:30:00;2020-08-13;6;4
169;1;2022-02-03 00:30:00;2020-08-14;4;6
170;1;2022-02-03 00:30:00;2020-08-15;2;1
171;1;2022-02-03 00:30:00;2020-08-16;0;4
172;1;2022-02-03 00:30:00;2020-08-17;9;7
173;1;2022-02-03 00:30:00;2020-08-18;7;2
174;1;2022-02-03 00:30:00;2020-08-19;1;3
175;1;2022-02-03 00:30:00;2020-08-20;2;6
176;1;2022-02-03 00:30:00;2020-08-21;12;5
177;1;2022-02-03 00:30:00;2020-08-22;1;0
178;1;2022-02-03 00:30:00;2020-08-23;1;5
179;1;2022-02-03 00:30:00;2020-08-24;5;2
180;1;2022-02-03 00:30:00;2020-08-25;3;3
181;1;2022-02-03 00:30:00;2020-08-26;1;0
182;1;2022-02-03 00:30:00;2020-08-27;2;2
183;1;2022-02-03 00:30:00;2020-08-28;2;2
184;1;2022-02-03 00:30:00;2020-08-29;0;3
185;1;2022-02-03 00:30:00;2020-08-30;1;3
186;1;2022-02-03 00:30:00;2020-08-31;5;1
187;1;2022-02-03 00:30:00;2020-09-01;1;2
188;1;2022-02-03 00:30:00;2020-09-02;3;2
189;1;2022-02-03 00:30:00;2020-09-03;3;3
190;1;2022-02-03 00:30:00;2020-09-04;3;4
191;1;2022-02-03 00:30:00;2020-09-05;0;1
192;1;2022-02-03 00:30:00;2020-09-06;2;4
193;1;2022-02-03 00:30:00;2020-09-07;6;3
194;1;2022-02-03 00:30:00;2020-09-08;1;3
195;1;2022-02-03 00:30:00;2020-09-09;3;4
196;1;2022-02-03 00:30:00;2020-09-10;4;5
197;1;2022-02-03 00:30:00;2020-09-11;6;6
198;1;2022-02-03 00:30:00;2020-09-12;2;6
199;1;2022-02-03 00:30:00;2020-09-13;0;4
200;1;2022-02-03 00:30:00;2020-09-14;8;10
201;1;2022-02-03 00:30:00;2020-09-15;11;4
202;1;2022-02-03 00:30:00;2020-09-16;6;1
203;1;2022-02-03 00:30:00;2020-09-17;6;4
204;1;2022-02-03 00:30:00;2020-09-18;8;7
205;1;2022-02-03 00:30:00;2020-09-19;2;14
206;1;2022-02-03 00:30:00;2020-09-20;9;13
207;1;2022-02-03 00:30:00;2020-09-21;20;13
208;1;2022-02-03 00:30:00;2020-09-22;13;10
209;1;2022-02-03 00:30:00;2020-09-23;31;13
210;1;2022-02-03 00:30:00;2020-09-24;10;11
211;1;2022-02-03 00:30:00;2020-09-25;15;18
212;1;2022-02-03 00:30:00;2020-09-26;12;13
213;1;2022-02-03 00:30:00;2020-09-27;7;17
214;1;2022-02-03 00:30:00;2020-09-28;29;15
215;1;2022-02-03 00:30:00;2020-09-29;19;22
216;1;2022-02-03 00:30:00;2020-09-30;15;15
217;1;2022-02-03 00:30:00;2020-10-01;17;13
218;1;2022-02-03 00:30:00;2020-10-02;14;14
219;1;2022-02-03 00:30:00;2020-10-03;9;19
220;1;2022-02-03 00:30:00;2020-10-04;18;22
221;1;2022-02-03 00:30:00;2020-10-05;40;28
222;1;2022-02-03 00:30:00;2020-10-06;24;34
223;1;2022-02-03 00:30:00;2020-10-07;36;29
224;1;2022-02-03 00:30:00;2020-10-08;25;22
225;1;2022-02-03 00:30:00;2020-10-09;27;28
226;1;2022-02-03 00:30:00;2020-10-10;17;27
227;1;2022-02-03 00:30:00;2020-10-11;22;19
228;1;2022-02-03 00:30:00;2020-10-12;39;41
229;1;2022-02-03 00:30:00;2020-10-13;34;36
230;1;2022-02-03 00:30:00;2020-10-14;37;35
231;1;2022-02-03 00:30:00;2020-10-15;38;37
232;1;2022-02-03 00:30:00;2020-10-16;46;55
233;1;2022-02-03 00:30:00;2020-10-17;37;30
234;1;2022-02-03 00:30:00;2020-10-18;30;41
235;1;2022-02-03 00:30:00;2020-10-19;51;58
236;1;2022-02-03 00:30:00;2020-10-20;59;49
237;1;2022-02-03 00:30:00;2020-10-21;42;49
238;1;2022-02-03 00:30:00;2020-10-22;56;43
239;1;2022-02-03 00:30:00;2020-10-23;50;54
240;1;2022-02-03 00:30:00;2020-10-24;21;38
241;1;2022-02-03 00:30:00;2020-10-25;41;48
242;1;2022-02-03 00:30:00;2020-10-26;70;59
